rule,support,confidence,lift
frozenset({'Milk'}) → frozenset({'Soap'}),0.0012857602057216328,0.14285714285714285,4.883830455259027
frozenset({'Soap'}) → frozenset({'Milk'}),0.0012857602057216328,0.04395604395604395,4.883830455259027
frozenset({'Carrots'}) → frozenset({'Curd'}),0.0016072002571520412,0.050505050505050504,2.1523453715234537
frozenset({'Curd'}) → frozenset({'Carrots'}),0.0016072002571520412,0.0684931506849315,2.1523453715234533
frozenset({'Lotion'}) → frozenset({'Mango Drink'}),0.0025715204114432656,0.04324324324324324,1.9783783783783782
frozenset({'Mango Drink'}) → frozenset({'Lotion'}),0.0025715204114432656,0.1176470588235294,1.9783783783783782
frozenset({'Orange Juice'}) → frozenset({'Chips'}),0.0019286403085824494,0.05172413793103448,1.8931034482758622
frozenset({'Chips'}) → frozenset({'Orange Juice'}),0.0019286403085824494,0.07058823529411765,1.893103448275862
frozenset({'Salt'}) → frozenset({'Cat Food'}),0.0016072002571520412,0.08333333333333334,1.7055921052631582
frozenset({'Cat Food'}) → frozenset({'Salt'}),0.0016072002571520412,0.03289473684210527,1.7055921052631582
